lo,lo
su,us
pu,up
nz,zn
hu,uh
gm,mg
go,go
pp,pp
hp,hp
hr,"hr,rh"
ex,ex
ht,th
st,st
sv,vs
hi,hi
hl,lh
lr,lr
ho,"ho,oh"
lp,pl
hs,sh
ax,ax
fr,rf
fp,pf
by,by
kw,wk
rs,sr
fi,if
fo,of
fl,lf
fm,mf
cl,cl
ci,ic
cm,mc
ox,ox
co,co
ab,ab
ot,to
ow,ow
oz,oz
cd,"cd,dc"
os,"os,so"
or,or
is,"is,si"
cp,pc
cs,"cs,sc"
cr,cr
cc,cc
ko,ok
cv,vc
as,"as,sa"
ap,pa
aw,"aw,wa"
av,va
ey,ye
at,at
ew,we
ay,ay
et,et
es,"es,se"
er,re
op,po
ac,"ac,ca"
en,"en,ne"
em,me
el,el
ag,ga
ei,ie
ad,ad
ai,ai
ah,"ah,ha"
an,"an,na"
am,"am,ma"
al,"al,la"
bo,ob
bm,mb
bk,kb
bd,db
be,be
bb,bb
no,"no,on"
ct,ct
nr,rn
ns,sn
mt,tm
nu,"nu,un"
jn,nj
tx,tx
ny,ny
br,br
ry,yr
in,in
dx,dx
dp,dp
dr,rd
ds,sd
xx,xx
dm,md
do,"do,od"
di,id
de,de
mo,mo
mn,"mn,nm"
ip,pi
iv,iv
it,"it,ti"
mw,mw
ll,ll
ii,ii
ps,sp
ms,ms
mr,mr
im,im
mp,pm
tu,ut
tv,"tv,vt"
eh,"eh,he"
ss,ss
my,my
kl,kl
