aefr,"fare,fear"
alwy,yawl
artw,wart
bbsu,bubs
emrs,rems
ceps,spec
arty,"arty,tray"
iiix,xiii
cepu,puce
dluy,duly
emns,mens
ijno,join
brru,burr
aovw,avow
klru,lurk
dorw,word
aeft,"fate,feat,feta"
oosw,woos
bens,"bens,nebs"
antu,"aunt,naut,tuna"
antt,attn
erru,ruer
doru,dour
ahkn,"ankh,hank,khan"
bent,bent
dips,dips
ahkr,hark
gimn,ming
beno,"bone,ebon"
ahkw,hawk
cglo,clog
bdsu,"buds,dubs"
fopu,pouf
dels,"elds,sled"
bblo,blob
delp,pled
delw,"lewd,weld"
delv,veld
delu,duel
eosx,oxes
eosw,"owes,woes"
glnu,lung
ckoo,cook
eost,toes
aafr,afar
ekrt,trek
ilno,"lino,lion,loin"
aafl,alfa
ossy,soys
ckop,pock
ckos,sock
ckor,"cork,rock"
bblu,bulb
delo,"dole,lode"
deln,lend
delm,meld
dell,dell
ceip,epic
deef,feed
deeg,"edge,geed"
ceit,cite
ceiv,vice
deel,dele
deem,"deem,meed"
deen,"eden,need"
deeh,heed
deei,idee
deek,eked
deet,teed
ikms,skim
ikmr,mirk
deep,"deep,peed"
deer,"deer,reed"
dees,"dees,seed"
anss,"assn,sans"
ceim,mice
answ,"awns,sawn,swan"
anst,"ants,tans"
ansu,anus
diim,midi
ghtu,thug
bcir,crib
dnsu,duns
iknp,pink
akor,okra
ahpw,whap
ddiy,didy
ably,ably
bmot,tomb
epps,peps
egrs,ergs
egru,urge
brsu,"burs,rubs,urbs"
egrw,grew
egry,"grey,gyre"
ddio,dido
bnru,burn
biis,ibis
bmow,womb
anox,axon
anov,nova
foxy,foxy
anor,roan
mmos,moms
ceil,"ceil,lice"
hors,hors
abls,"albs,labs,slab"
orsw,rows
horu,hour
coop,"coop,poco"
joru,jour
alor,oral
alos,"also,laos"
alot,alto
dmpu,dump
alov,oval
alow,awol
bknu,bunk
gosy,goys
estw,"stew,west,wets"
epru,"peru,pure"
mrsu,rums
glow,glow
ckpu,puck
stxy,styx
adsy,days
gisz,zigs
adst,tads
bkno,knob
adsw,wads
dnos,"dons,nods"
rstu,"rust,ruts"
oost,soot
fhis,fish
ahpt,path
ehpw,phew
ahps,"haps,hasp"
ahpr,harp
ittw,twit
mopr,"prom,romp"
mops,mops
mopp,pomp
hnos,nosh
antw,want
errs,errs
acry,racy
acrz,czar
asty,stay
eefl,"feel,flee"
acrs,"arcs,cars,scar"
acrt,cart
astw,"swat,taws,twas,wast,wats"
astt,"stat,tats"
acrw,craw
enru,rune
ejss,jess
eeft,"feet,fete"
eefr,"free,reef"
ejsw,jews
enrs,erns
ghuv,vugh
fiju,fuji
gimr,grim
achs,cash
bssu,"buss,subs"
illy,"illy,lily"
esty,stye
botu,bout
illt,"lilt,till"
illw,will
eisz,size
illp,pill
ills,"ills,sill"
illr,rill
lstu,"lust,slut"
aotu,auto
dopy,dopy
lowy,yowl
assy,says
hims,shim
assw,saws
eeir,"eire,erie"
asst,"asst,tass"
asss,sass
eisw,wise
dops,pods
dopr,"dorp,drop,prod"
adnw,"dawn,wand"
gnos,"nogs,song"
eisv,"vies,vise"
adns,"ands,sand"
adnr,"darn,nard,rand"
fftu,tuff
aekm,"kame,make"
