aajnp,japan
aegot,togae
elrsu,"lures,rules"
aoptz,topaz
elrsy,"lyres,slyer"
ffstu,"stuff,tuffs"
deegw,wedge
floru,"flour,fluor"
hmoos,homos
hmoop,oomph
aiopt,patio
aegos,osage
isstu,"situs,suits"
moott,motto
aajnn,jnana
knstu,stunk
eeggr,egger
depru,"drupe,duper,perdu,prude"
afnsw,fawns
aannt,annat
afnsu,"fauns,snafu"
ckmsu,mucks
cdilo,dolci
aanns,annas
bllos,bolls
aciru,"auric,curia"
booyz,boozy
aaegv,agave
eirsv,"rives,viers"
admns,damns
akmss,masks
hnoor,honor
dggoo,doggo
ahlss,slash
efikr,kefir
ahlot,"altho,loath"
ahlos,"halos,shoal"
abfls,flabs
dinwy,windy
belly,belly
bells,bells
gknsu,gunks
bello,bello
eilsx,silex
aahjr,rajah
copru,croup
hmrry,myrrh
ckluy,lucky
efikn,knife
bgmoo,gombo
abbls,blabs
fltuy,fluty
aglss,"glass,slags"
abblu,babul
adent,"anted,dante"
adenw,"awned,waned"
adenv,vaned
aggry,raggy
adenp,paned
adens,"andes,danes,deans,saned,sedan"
adenr,andre
eirst,"rites,tiers,tires,tries"
adeno,anode
emnsu,menus
rsuuy,usury
koprs,porks
amory,"mayor,moray"
amnow,woman
orstw,"trows,worst,worts"
adlmo,modal
bkoss,bosks
amrsw,"swarm,warms"
amrst,"marts,smart,trams"
amrsu,arums
adeev,"eaved,evade"
ittwy,witty
amnoy,anomy
aeirr,airer
amnor,"manor,norma,roman"
fhlsu,flush
hotuy,youth
lrsuy,surly
elssu,slues
elssw,slews
elssy,lyses
acjnu,cajun
boowx,oxbow
ackps,packs
cmopt,compt
abssw,swabs
absst,"basts,stabs"
cinyz,zincy
agrsy,grays
abmry,barmy
cmops,comps
eelrt,relet
agrsu,"argus,guars,sugar"
abmru,"burma,rumba,umbra"
apssw,"swaps,wasps"
abssy,"abyss,bassy"
egint,tinge
efmru,"femur,fumer"
aennp,penna
ilmos,"limos,milos,moils"
aesss,asses
blowy,blowy
aaitw,await
norsw,sworn
cklsu,"lucks,sculk"
norst,snort
elouv,ovule
ennwy,wenny
ghosy,yoghs
ghost,"ghost,goths"
eirss,"rises,sires"
hlopx,phlox
aersy,"resay,sayer,years,years"
irtuv,virtu
deghy,hedgy
bchnu,bunch
enovw,woven
dhiot,dhoti
elmuy,muley
ceklr,clerk
eorxx,xerox
hmoty,mothy
aersu,"ureas,ursae"
deovw,vowed
ilrtw,twirl
aafnu,fauna
einvx,vixen
abcrs,crabs
ailnt,latin
flmpu,flump
kllsu,skull
dggoy,doggy
bdlno,blond
eorrr,error
aessx,saxes
elstu,"lutes,tules"
admno,"monad,nomad"
eorrt,retro
dehot,doeth
chilz,zilch
dehop,hoped
dehos,"hosed,shoed"
cgnoo,congo
aeoss,"oases,ossea"
hmnpy,nymph
chilt,licht
firry,firry
mprsu,rumps
airss,"arsis,saris"
illwy,willy
chilm,milch
chill,chill
airst,"astir,sitar,stair,stria,tarsi"
bdotu,doubt
aepty,peaty
cppuy,cuppy
depry,perdy
chikr,chirk
defox,foxed
gmmuy,gummy
enops,"opens,peons,pones"
eloss,"loess,loses,sloes,soles"
alnru,"lunar,ulnar"
akrtu,kraut
aagit,taiga
ittwx,twixt
dippy,dippy
abdet,bated
dnoor,"donor,rondo"
afstu,"faust,tufas"
aopsy,soapy
ehios,hoise
acddy,caddy
cdees,cedes
aglor,largo
ehkoy,hokey
aglop,galop
bggoy,boggy
einps,"peins,penis,pines,snipe,spine"
aglow,aglow
aglot,gloat
anptu,unapt
aghnw,whang
cehss,chess
jmoru,jorum
drrsu,durrs
cehsw,chews
cehst,chest
aagin,again
ainux,auxin
innty,tinny
acghn,chang
bbcuy,cubby
eenqu,queen
aapst,pasta
ddiky,kiddy
eellv,level
cnors,"corns,scorn"
cikns,"nicks,snick"
enrty,entry
cnorw,crown
chhtu,hutch
cnoru,cornu
eelln,ellen
ddiko,kiddo
iloop,polio
cnory,"corny,crony"
eipqu,"equip,pique"
hkluy,hulky
degru,urged
fklnu,flunk
ceost,"coset,cotes"
aosvy,savoy
