deenpx,expend
iilnty,tinily
elmrsu,lemurs
bfiinr,fibrin
iklnnu,unlink
eijstu,jesuit
aaegsv,"agaves,savage"
aaegst,agates
ekrtuy,turkey
deimno,monied
dioops,isopod
deimnp,impend
deimns,denims
eghinx,hexing
deimnt,minted
ddilty,tiddly
aeekru,eureka
acdelm,calmed
abilmt,timbal
acdioz,zodiac
deessy,yessed
eelmry,merely
deequu,queued
aahhll,hallah
iinnqu,quinin
eelmrt,"melter,remelt"
eelmrw,mewler
bkmnuu,bunkum
acehms,"sachem,schema"
acloru,ocular
amnrtu,"antrum,truman"
aappsw,papaws
eghinr,"hinger,nigher"
aalopy,payola
adlnou,unload
aahhlv,halvah
aorstt,"stator,tarots"
ffloty,fylfot
aaelpt,palate
adlmpy,damply
abdenp,bedpan
acimpt,impact
ahipru,rupiah
fffluy,fluffy
aeenpw,pawnee
bbeelp,pebble
aadgop,pagoda
aahlos,alohas
eimrrs,rimers
cehipr,cipher
abeflr,fabler
bdelns,blends
girtty,gritty
abiost,biotas
errsuu,usurer
abefls,fables
aeluvv,vulvae
morstu,tumors
eehmst,themes
aammms,mammas
eehmss,meshes
abhist,habits
deiino,iodine
eekltt,kettle
aaknns,kansan
adnoru,around
adnorv,darvon
deiinv,divine
aennrt,tanner
emssty,system
deiins,"indies,inside"
adnors,"adorns,radons"
aeorrs,soarer
aalnst,aslant
ceinrt,cretin
eilnsu,lunies
eilnst,"enlist,inlets,listen,silent,tinsel"
aijkns,kanjis
eilnsv,"livens,snivel"
aimmss,miasms
delnou,"louden,nodule"
aimmsu,imaums
abhiss,sahibs
cehils,"chiels,chiles,chisel"
ceiotx,exotic
cprsty,crypts
egnnru,gunner
bdegtu,budget
dnrsuy,sundry
dghiin,hiding
ffiopr,ripoff
acepss,"scapes,spaces"
deoqtu,quoted
delnoo,noodle
cehiln,lichen
aeprsv,pavers
almnos,salmon
aceejt,ejecta
ensstu,sunset
aennov,novena
aceejy,jaycee
adelor,"loader,ordeal,reload"
benrru,burner
dekmos,smoked
aellps,lapels
loosst,stools
degopr,groped
aellpt,pallet
abirtt,attrib
abchpu,hubcap
iqrstu,"quirts,squirt"
aellpy,palely
bcnosu,buncos
aeklrs,"lakers,slaker"
achksw,whacks
ddnorw,drownd
dehils,shield
dehilt,hilted
eeginy,eyeing
deellw,welled
eegint,teeing
acelmr,"calmer,marcel"
acelms,"camels,mescal"
ehlrtu,"hurtle,luther"
eekppu,upkeep
fnostu,founts
bnoryy,bryony
bnoryz,bronzy
afmort,format
aoorrt,orator
aeklrw,walker
dhlopu,"holdup,uphold"
dehlno,holden
illstw,twills
eeefrr,reefer
dehill,hilled
deiops,poised
deiopr,"dopier,period"
aeopps,appose
eillms,milles
eehinr,"herein,inhere"
befgos,befogs
eillmt,millet
adepwy,yawped
iirsvz,vizirs
morrsu,rumors
aepstu,taupes
aepstt,aptest
ghimno,homing
aakkmr,markka
aahipr,pariah
eiorrt,rioter
belmru,"lumber,rumble"
aadhrz,hazard
dioosz,zooids
aaclns,canals
aaclnr,carnal
aaclnu,lacuna
adekny,yanked
eilstx,ixtles
abbbel,babble
aeiils,liaise
gmpruy,grumpy
adekns,"kneads,snaked"
adeknr,"danker,darken,narked,ranked"
adeknt,tanked
insstt,stints
acesst,castes
acknpu,unpack
bbelmu,bumble
bceklu,buckle
nssttu,stunts
egippr,"gipper,grippe"
afggot,faggot
ghossu,soughs
abbeks,kebabs
afrstu,frusta
chisst,schist
eilotv,violet
beefor,before
anprty,pantry
dgirtu,turgid
ehklsw,whelks
ceimmn,mnemic
deirwy,weirdy
ceostt,octets
cghosu,coughs
acinps,panics
aehijr,hejira
ahirsw,rawish
acinpt,catnip
eenrtt,"netter,tenter"
ikllrs,krills
ekmrru,murker
efrrsy,fryers
lmpruy,rumply
chinst,"chints,snitch"
ceosty,coyest
afhist,faiths
ceoors,"cooers,roscoe"
eknpuy,punkey
gllmuy,glumly
ceeptx,"except,expect"
bhorst,"borsht,broths,throbs"
aabnru,urbana
aalpsz,plazas
aalpsy,playas
aehmrs,"harems,masher"
aehmrr,harmer
bbeors,sobber
ceklsu,suckle
deeepp,peeped
imottt,tomtit
aehlps,alephs
acimps,scampi
eenrvy,venery
abbmoo,bamboo
deeepv,peeved
achins,"chains,chinas"
aaahnv,havana
achint,canthi
abbmoy,bombay
egoost,stooge
eegirv,grieve
bbeilr,libber
bbeils,bibles
aabemt,bemata
eggors,gorges
eggort,gorget
aabems,amebas
aalmnp,napalm
beiqsu,bisque
degstu,gusted
cdekmu,mucked
aenptt,patent
aenptu,peanut
hipssy,physis
abikku,kabuki
aelnpr,"planer,replan"
beimos,biomes
aabemn,ameban
aabemo,amoeba
abellt,ballet
abellr,baller
abells,labels
ghorsu,roughs
ehlosy,hoyles
ioqstu,quoits
aadmyy,mayday
iilmst,limits
abcmot,combat
aeggrs,"gagers,sagger"
ehloss,sheols
lnnosy,nylons
abcmop,mobcap
ehlost,"helots,hostel,hotels,tholes"
aeggrt,tagger
eefiln,feline
aalmny,layman
eefilr,"liefer,refile,relief"
aanstv,savant
agglny,gangly
aalnrw,narwal
aaegor,agorae
bdemnu,numbed
aabmms,mambas
eimprx,premix
accgno,cognac
aelsyz,sleazy
akoosz,kazoos
cdlosu,clouds
cimmot,commit
cdloss,scolds
abdeks,basked
abdekr,"barked,braked,debark"
eenops,peones
eenopr,"opener,reopen"
eelrss,lesser
aeegot,goatee
acklns,clanks
aefnru,frauen
aeegop,apogee
elmsst,smelts
elmssu,mussel
eelntt,nettle
dfirty,drifty
eeggir,geiger
abdekl,balked
aanott,anatto
hosstu,"shouts,souths"
llosty,tolyls
