acelprt,plectra
ailppru,pupilar
acelprs,"carpels,clasper,parcels,placers,scalper"
aimostt,atomist
acelpry,prelacy
hilmsuy,mushily
ginnttu,nutting
aehnpps,happens
bdorswy,bywords
dgiostw,godwits
deeeprs,speeder
admnoow,woodman
cdeeios,diocese
emrsttu,mutters
cdeeiov,devoice
admnoor,doorman
ddegors,dodgers
aegossu,gaseous
ddegory,dodgery
acdggin,cadging
deilrss,"sidlers,sliders"
fiillmo,milfoil
deilrsv,drivels
deilrsw,"swirled,wilders"
eeglnor,erelong
deeknny,kennedy
aalnnru,annular
eeglrsu,reglues
fiillmy,filmily
eeglnoz,lozenge
ajnorst,trojans
cehimms,chemism
aehnsty,shantey
dimruuv,duumvir
aacmrrt,tramcar
gilrtuy,liturgy
ceiosst,cosiest
hnoopty,typhoon
agiijln,jailing
accghin,caching
accghio,chicago
ginottu,touting
aachint,acanthi
aaabcor,carabao
cirsstu,rustics
deillmu,illumed
aabdlms,lambdas
chiksst,shticks
aehilmo,hemiola
adellru,allured
cdehnot,notched
aehhsst,sheaths
eiiklst,kilties
begorsu,brogues
iillmno,million
abeimzz,zambezi
eeehilw,wheelie
aehilmy,lehayim
adeprsy,sprayed
abehrrs,brasher
eghorru,rougher
bbfgiin,fibbing
adeghlu,laughed
emoprrs,rompers
adeprst,"departs,petards"
amnnosw,snowman
aeprrsw,"rewraps,warpers"
eggilnu,glueing
amnnosy,anonyms
eggilnr,niggler
aabdems,sambaed
glnooos,oolongs
cdeintt,tincted
eilnrvy,nervily
achmsuw,cumshaw
aagorsu,saguaro
iimrtuv,trivium
aeprrss,"parsers,raspers,sparers,sparser"
eiiknst,inkiest
cdelstu,dulcets
afklowy,folkway
agorrty,gyrator
deeeprt,petered
eiiknss,kinesis
dehmptu,thumped
adgirzz,gizzard
cdenopu,pounced
agorrtw,ragwort
eeghiny,hygiene
cehnorv,chevron
aggggin,gagging
aeeegrr,eagerer
eelmpst,temples
aahiint,haitian
dehistw,whisted
dehistt,shitted
beeoost,bootees
deknrtu,trunked
eelrrvy,revelry
aajnosw,ajowans
aajnosv,navajos
eglstuu,gluteus
bioorsz,borzois
begnoru,burgeon
deeorsw,resowed
accehns,chances
accehnr,"chancer,chancre"
efgirrt,grifter
efgirru,figurer
adehlot,loathed
eggilsu,luggies
eggilsw,wiggles
adehlos,shoaled
aaclmsu,maculas
ceelrtu,lecture
dhlootu,holdout
aaefnst,feasant
eipprrs,rippers
eenoprs,"openers,reopens"
acoprst,captors
ceelrty,erectly
eellrss,"resells,sellers"
eellrst,"retells,tellers"
eeinrtt,"nettier,tentier"
abhilos,abolish
dhilpsy,sylphid
deeimns,sidemen
einosuv,envious
benoswy,newsboy
adkrswy,skyward
abcginr,bracing
adiirst,diarist
ahikkss,kishkas
ceeprst,"respect,scepter,sceptre,specter,spectre"
behnrtu,burthen
aacdnrs,canards
einnops,"pension,pinones"
bdgilno,bolding
aacemqu,macaque
defimor,deiform
defimow,wifedom
fgiilmn,filming
cdelost,coldest
cdelosw,scowled
deerstw,"strewed,wrested"
deeessx,desexes
ennorsw,renowns
deilstt,"slitted,stilted"
deilstu,"dilutes,duelist"
deilstw,wildest
acejkst,jackets
aeirstv,"vastier,veritas"
bbdeilo,"bilobed,lobbied"
bbdeiln,nibbled
adegnrs,"dangers,ganders,gardens"
abbderr,drabber
aaegitz,agatize
bbdeils,dibbles
bbdeilr,"dibbler,dribble"
begrssu,burgess
aajnruy,january
eefistv,festive
aaegitt,agitate
eghhhit,heighth
elnrsty,sternly
giilnns,"lignins,linings"
deerruv,verdure
acehkny,hackney
clnossu,consuls
aehssst,stashes
ccenort,concert
aflluwy,awfully
abchpsu,hubcaps
elnrstu,runlets
aenorxy,anorexy
cehiksy,hickeys
ainqsuy,yanquis
efhiirs,fishier
ddeeops,"deposed,seedpod"
abeemns,basemen
egnoosy,gooneys
adfimny,damnify
ccehils,"chicles,cliches"
acorsyz,coryzas
dghoost,hotdogs
egijlnr,jingler
egijlns,jingles
