ahmnnstu,"huntsman,manhunts"
dfghilos,goldfish
adghinss,shadings
aeikrsst,asterisk
eghimnor,homering
cipsstty,styptics
aerssttw,swatters
einstttu,nuttiest
cdiilsvy,viscidly
efiinstt,niftiest
aceehprr,preacher
aceehprs,preaches
eeellrrv,reveller
eiilnosz,lionizes
ehillrrs,shriller
bdeorssu,rosebuds
aeelrsvy,aversely
dgiiklnn,kindling
aagiortt,agitator
eiilnoss,"elisions,oiliness"
bdeemnot,entombed
aggghiln,haggling
egilnrst,"ringlets,sterling,tinglers"
adeginst,"sedating,steading"
adeginsw,windages
egilnrsw,newsgirl
abdeoprt,probated
adeginss,assigned
egilnrss,slingers
acehlnru,launcher
efgilmor,filmgoer
beilrstu,burliest
beilrstt,brittles
abdeorst,broadest
abdeelmm,embalmed
acehlnrs,charnels
abdeorsw,sowbread
ailmnpst,implants
ceensstu,cuteness
cgiklnnu,clunking
beklnory,brokenly
cdeiiruv,virucide
abeilmst,"balmiest,bimetals,timbales"
adelstty,statedly
cdeeiisv,decisive
adeeprru,upreared
abdeirtv,vibrated
eklnorss,snorkels
abllosty,tallboys
einoossz,ooziness
bdeellow,"bellowed,bowelled"
ehmorrsu,humorers
eginrssy,syringes
giinrstw,writings
eginrssw,swingers
eginrssv,servings
eginrsst,stingers
aanrrstw,warrants
cgiklnno,clonking
cinrstuy,scrutiny
adlmopsy,psalmody
fgilnooz,foozling
imoortvy,vomitory
eiijnrsu,injuries
aijlntuy,jauntily
adeilnop,palinode
fgilnoor,flooring
abcdeknu,unbacked
abdgiinr,braiding
bcorsttu,obstruct
aehmoprt,metaphor
aeeerrst,arrestee
abeeflln,befallen
aabelmsu,amusable
aabelmst,lambaste
abelmnno,nobleman
ceilnost,lections
abelmrrs,"marblers,ramblers"
ceilnoss,incloses
aachnstu,acanthus
cefiiist,citifies
aclnoost,coolants
ceimnost,centimos
cehikrsw,whickers
aefllpss,flapless
aehilssv,lavishes
abggiist,gigabits
aeegsttz,gazettes
aacenrty,catenary
aacenrtt,reactant
aenpprss,snappers
aceeilnr,"cinereal,reliance"
eiinrstt,nitrites
eiinrstu,neuritis
aeimnost,amniotes
ceeeiopt,toepiece
aeefllnv,evenfall
fhlrttuu,truthful
adeiilty,ideality
aceehstx,cathexes
ceeoprrs,prescore
adeiiltv,dilative
deegrrsu,resurged
accflnoo,confocal
ceeoprrt,receptor
ennorssw,wornness
acenrtuy,centaury
aeoopstt,potatoes
iimnosst,simonist
iimnosss,missions
aeinnort,anointer
aaceenrw,caneware
adefiiln,finialed
adddeims,misadded
aaceenrs,cesarean
eeiinstv,invitees
agillnoy,alloying
agillnow,allowing
eefiilln,lifeline
eloprsst,portless
opprrstu,purports
ooprsstv,provosts
eelnnuvy,unevenly
deellnop,pollened
acdeesux,caudexes
eijlostw,jowliest
dfilloot,floodlit
aacdeeps,escapade
adeehlss,headless
eorssttu,tutoress
behirssu,hubrises
acdeiltt,latticed
eilsstyz,stylizes
ceefprst,"perfects,prefects"
fgiilnnt,flinting
aabckswy,swayback
eeiilmrt,timelier
dehiills,"hillside,sidehill"
adeennuw,unweaned
adehrttw,thwarted
ajlnorsu,journals
eiilnosv,olivines
aaeknprt,partaken
aafiilmr,familiar
aaemnotz,metazoan
abbhilsy,shabbily
aaegistt,agitates
eefillss,lifeless
aabbeelt,beatable
